,VP1,VP0
197,108917544.68373972,102423489.37316215
198,133210969.95500265,125268453.35333507
199,238977616.64485183,224728912.5909001
200,132411135.15277623,124516307.5754992
201,131910476.5842013,124045500.06944576
202,156253693.67181683,146937287.09899852
203,129343625.05107085,121631693.44637632
204,160429354.8712759,150863980.3762899
205,136082367.15142098,127968647.53313819
206,145090193.6413117,136439395.04623693
207,130633336.40330595,122844507.57438171
208,130938549.93097734,123131523.17502502
209,95475319.65162985,89782738.08992557
210,122714705.61172023,115398013.99901694
211,113125947.6802278,106380972.26391566
212,142215848.52672198,133736428.71373448
213,138048889.52122012,129817918.77433315
214,134294513.61800805,126287392.25041945
215,89802421.79079062,84448078.7799692
216,114343594.567665,107526018.66941278
217,86555045.76488733,81394322.97923437
218,89712405.13996786,84363429.24526179
219,127042868.29303953,119468116.07194409
220,178850722.1002979,168186999.5106216
221,177292060.7088247,166721271.11094582
222,134493675.73160625,126474679.6032963
223,162809905.31678185,153102593.8518832
224,138301006.35219514,130055003.49409199
225,173816028.38939124,163452492.32637033
226,124450994.91275449,117030779.49414076
227,139375137.28290993,131065090.87980108
228,163188306.9768725,153458433.84555566
229,141105834.07201362,132692597.30864726
230,130507922.05313954,122726570.87833509
231,137360676.94361123,129170739.90306978
232,110286228.24953243,103710567.10763773
233,123815964.31942883,116433611.70619637
234,90178067.57753187,84801327.21536209
235,101517932.65785894,95465068.8000672
236,139208039.84526592,130907956.39170268
237,105851685.11309563,99540427.36450899
238,113000278.43027887,106262795.8661273
239,136852159.24760595,128692541.85899803
240,158335793.36958882,148895244.53265017
241,111689592.66303602,105030257.89308947
242,148528397.3415624,139672600.68980822
243,116497482.59454848,109551484.15408796
244,113317068.88405056,106560698.13494559
245,177855454.55704653,167251073.39389122
246,124959383.10315557,117508855.75419769
247,104585237.93231532,98349490.31447753
248,101255894.5964823,95218654.38930625
249,165309384.05545577,155453044.6885447
250,132999051.60936503,125069170.34080097
251,152141557.40408322,143070331.16878387
252,166648508.93668818,156712326.13342583
253,132459149.38609558,124561459.0277324
254,142045651.19671977,133576379.15999693
255,147286327.96077484,138504587.94775438
256,101728498.21869126,95663079.6856861
257,129579107.37531717,121853135.46845865
258,86953316.11588971,81768847.02108625
259,90902787.02638508,85482836.28705183
260,150682105.67424467,141697897.19429603
261,116635116.75087763,109680912.0675531
262,146104491.13814092,137393216.48234594
263,119219071.86988546,112110802.49926366
264,148409468.2693719,139560762.5961656
265,161775325.82747564,152129699.7085536
266,129969913.06936023,122220639.92301662
267,151440677.6868703,142411240.41828755
268,140435524.950868,132062254.42545298
269,137863367.9205071,129643458.63795847
270,131079344.90227269,123263923.44431254
271,140890116.31525895,132489741.41953665
272,121198960.9271727,113972643.4580176
273,106754077.05174969,100389015.4538525
274,139700343.85247776,131370907.46535605
275,193494116.46730185,181957302.09769195
276,111895908.77285196,105224272.69522813
277,112879027.0025928,106148773.88416703
278,111903983.03228156,105231865.53830302
279,126142804.6687803,118621717.4745265
280,87004495.85218994,81816975.23764023
281,135240508.7218533,127176983.72759698
282,120961934.96344198,113749749.8337826
283,88391451.49027026,83121235.59780951
284,101013890.58837904,94991079.52958828
285,137739728.96406955,129527191.4802883
286,127759274.61603571,120141807.67620607
287,143523417.70699307,134966035.92191243
288,143042083.5153813,134513400.60404295
289,143023123.04815507,134495570.62799
290,107103825.54780608,100717910.68806963
291,127366619.66432607,119772564.22336724
292,124312122.94489928,116900187.5719197
293,127709575.0360621,120095071.3637409
294,143859152.0271489,135281752.55574343
295,123032421.72651564,115696786.73762318
296,109657833.26756643,103119639.29206468
297,119677502.86531523,112541900.19178939
298,126200382.48696947,118675862.2963415
299,162489571.09073848,152801359.10322738
300,106473815.85093313,100125464.43269338
301,120636571.9812036,113443786.16144241
302,161069958.17062202,151466388.60550132
303,114744406.88960153,107902933.12075944
304,109189417.79830925,102679152.43591128
305,110577821.02304015,103984774.07241443
306,122220809.26100563,114933565.52310108
307,98760945.10534367,92872462.75017022
308,124914368.88440454,117466525.44488642
309,127667807.26101892,120055793.93350047
310,121996109.26578836,114722262.94885455
311,118070319.92067398,111030543.26826368
312,90369667.36177975,84981503.13213284
313,161814274.68694547,152166326.29709443
314,108244569.00067577,101790638.91805096
315,135396322.3220758,127323507.16119921
316,119123734.15122044,112021149.15789518
317,70790066.17103936,66569308.10594494
318,102092279.99300641,96005171.4836963
319,139668209.0809414,131340688.68434589
320,108290499.02668376,101833830.43090042
321,125273852.42664449,117804575.28685956
322,94331308.54291157,88706937.0334767
323,142144299.88223517,133669146.0564772
324,174009563.85513842,163634488.5123553
325,165570151.74286675,155698264.46959978
326,158323798.284953,148883964.6380538
327,188489920.66230634,177251474.4246348
328,170250007.5367748,160099090.44825253
329,155073904.25198603,145827840.9628826
330,145659948.89858034,136975179.44816783
331,157203882.19756767,147830821.97120237
